Sistema,Ambiente,Modulo,Pod,Error,Qtd,Hora,Minuto,Hash
brcidadao,brcidadao-p,recoverybff,recoverybff-754dd7cc4b-7pz4q,OOMKilled,1,21,45,1ee977a4cd090914dee58ab613c5df5d
vencimento,vencimento-p,redis,redis-757b7f6ff9-2gdsg,OOMKilled,1,21,45,d731fc97cbd4bb49d3338c53dce60eba
sigepe-talentos,sigepe-talentos-producao,redis-talentos,redis-talentos-f75fd987d-mg5gp,OOMKilled,1,21,45,596e4f0940a92bc9eb7a490245d68745
reinf,reinf-pro,reinf-painel,reinf-painel-6fbf58bb89-pwslw,OOMKilled,1,21,45,97295b011d06f103bb576d487074c71f
reintegra,reintegra-h,reintegra-springbatch,reintegra-springbatch-d57c6fcb6-njz7q,OOMKilled,1,21,45,5582a2cc0c755efa9fe05b5531d43a56
reintegra,reintegra-p,reintegra-springbatch,reintegra-springbatch-54c9655d64-sj75f,OOMKilled,1,21,45,868850e7bd9d896f9bee7c82d373c40c
siapa,siapa-pro2,relatorio-acomp,relatorio-acomp-94bfdc9fc-6r4d8,OOMKilled,1,21,45,abca5d824ae62ab97fae53d54deeba5e
renachservice,renachservice-mon,renach-condutor-service-prth,renach-condutor-service-prth-9bb78b9ff-64qnx,OOMKilled,1,21,45,bf1ffbec771f70b8332034c5198e6270
renavam,renavam-pro,renavam-integrador-transaciona,renavam-integrador-transaciona-864d7f464d-4tnlb,OOMKilled,1,21,45,2da8979c829cec435b930ed145057854
renavam,renavam-pro,renavam-integrador-transaciona,renavam-integrador-transaciona-864d7f464d-98kgc,OOMKilled,1,21,45,63526eb05244c96453e42a175c43c49f
renavam,renavam-pro,renavam-integrador-transaciona,renavam-integrador-transaciona-864d7f464d-b9ptp,OOMKilled,1,21,45,472153b1419988263ab96916a0b0a767
renavam,renavam-pro,renavam-integrador-transaciona,renavam-integrador-transaciona-864d7f464d-f7j5j,OOMKilled,1,21,45,18c67726d0cc94d61c5a4545e7ddffaa
renavam,renavam-pro,renavam-integrador-transaciona,renavam-integrador-transaciona-864d7f464d-gkprw,OOMKilled,1,21,45,1e6735ad9bbbbe477bbbd1d5ae3276a8
renavam,renavam-pro,renavam-integrador-transaciona,renavam-integrador-transaciona-864d7f464d-mfq9m,OOMKilled,1,21,45,daed034c622bd57b2443074199e2b981
renavam,renavam-pro,renavam-integrador-transaciona,renavam-integrador-transaciona-864d7f464d-mpjvz,OOMKilled,1,21,45,efe9798c381dcb9afd547b12f24ee4da
renavam,renavam-pro,renavam-integrador-transaciona,renavam-integrador-transaciona-864d7f464d-pf7bp,OOMKilled,1,21,45,c904325d02850bd73ed54542b32d1947
renavam,renavam-pro,renavam-integrador-transaciona,renavam-integrador-transaciona-864d7f464d-px26k,OOMKilled,1,21,45,22a83f089186810ca190695ff31ffdeb
renavam,renavam-pro,renavam-integrador-transaciona,renavam-integrador-transaciona-864d7f464d-rqvlb,OOMKilled,1,21,45,d40e35282028fe61c899935f4846700f
renavam,renavam-pro,renavam-integrador-transaciona,renavam-integrador-transaciona-864d7f464d-w2whv,OOMKilled,1,21,45,451523d571210bdd2a2878a8d3d59a15
renavam,renavam-pro,renavam-integrador-transaciona,renavam-integrador-transaciona-864d7f464d-xr8g9,OOMKilled,1,21,45,dc5ebd6ca72278a1e0e5d636ff603b47
retsam,retsam-hom,retsam-core-malha-dctf,retsam-core-malha-dctf-7c4669c8cf-bsd29,OOMKilled,1,21,45,6f03ff4178e230a1286fe57a8605e1e6
retsam,retsam-prod,retsam-core-malha-dctf,retsam-core-malha-dctf-67cfb6bd76-76fsb,OOMKilled,1,21,45,e0a3ea795c6af6415e19f7a46d7f1043
retsam,retsam-prod,retsam-core-malha-reinf,retsam-core-malha-reinf-59cf57b476-g7s57,OOMKilled,1,21,45,f7520dd6c27969fca868f7ae109cc058
retsam,retsam-prod,retsam-core-malha-reinf,retsam-core-malha-reinf-59cf57b476-k4rjd,OOMKilled,1,21,45,ee69e001271edb41f48e5731556fedaf
retsam,retsam-prod,retsam-core-malha-reinf,retsam-core-malha-reinf-59cf57b476-nxzjf,OOMKilled,1,21,45,d1d6f7636539748430577f2ba5de3491
retsam,retsam-prod,retsam-core-malha-reinf,retsam-core-malha-reinf-59cf57b476-rdvjl,OOMKilled,1,21,45,9105cbc1ccc097eeb5aaaa284e895540
reuse,reuse-p,reuse-backend,reuse-backend-699cff88cd-bsv4v,OOMKilled,1,21,45,882ad1d8c160ac1756931136de50c664
rendavar,rendavar-revarmon,revar-grf,revar-grf-7bf9478455-6spxc,OOMKilled,1,21,45,162e20ced42d37e3dd3f0ec36363283d
rendavar,rendavar-revarhom,revarserver,revarserver-88cdf9f7-4ct8x,OOMKilled,1,21,45,cb08709003b21c9bd155d1af342ac020
rendavar,rendavar-revarhom,revarservertest,revarservertest-66cf65ddfc-s74j7,OOMKilled,1,21,45,7949128c05436ac2a9b933ca11ef5736
sinter,sinter-p,rlrtd,rlrtd-c696b6f86-gdgdv,OOMKilled,1,21,45,b8645037af54e35030669b9a0b12aec5
estaleirochat,estaleirochat-prodchat,rocketchat,rocketchat-f65b99464-44rl9,OOMKilled,1,21,45,76492ee5acb8cc0c606e9f13c0eb2e87
estaleirochat,estaleirochat-prodchat,rocketchat,rocketchat-f65b99464-9mx84,OOMKilled,1,21,45,bc20513e95e3eb0f9080d138985c58e5
estaleirochat,estaleirochat-prodchat,rocketchat,rocketchat-f65b99464-f54ng,OOMKilled,1,21,45,9289be8de482beff72ce83bf554cea10
estaleirochat,estaleirochat-prodchat,rocketchat,rocketchat-f65b99464-ghvl4,OOMKilled,1,21,45,2a7e0446c17d158962c96438dd7b6331
estaleirochat,estaleirochat-prodchat,rocketchat,rocketchat-f65b99464-kpzb5,OOMKilled,1,21,45,2278e13f7ba5dfc799fac20cfba5b943
estaleirochat,estaleirochat-prodchat,rocketchat,rocketchat-f65b99464-xgr6b,OOMKilled,1,21,45,414b804dc405a80b859186772bb95f62
embarqueseguro,embarqueseguro-p,sbp-parser-apipnr,sbp-parser-apipnr-7564d4d499-tn4g9,OOMKilled,1,21,45,a0bb8bb841619b7c8a7d3b10b1ba3223
embarqueseguro,embarqueseguro-rnf,sbp-receiver-audit-boarding,sbp-receiver-audit-boarding-75c78599c7-g6z2c,OOMKilled,1,21,45,695bdcf5ef4e321fbc85500845958ff8
embarqueseguro,embarqueseguro-p,sbp-receiver-audit-boarding,sbp-receiver-audit-boarding-5898df4587-m2ph9,OOMKilled,1,21,45,5cd7a8d827b038c1850dd9d7e33267b4
embarqueseguro,embarqueseguro-p,sbp-receiver-inspection,sbp-receiver-inspection-678585cbbc-v9dr8,OOMKilled,1,21,45,540f748e4d080fca6e6781312e46ff87
embarqueseguro,embarqueseguro-rnf,sbp-web-audit-boarding,sbp-web-audit-boarding-5b8d64c769-zlwnn,OOMKilled,1,21,45,10e1df15dd1e4ac60d36f6bcba97a90a
embarqueseguro,embarqueseguro-homol,sbp-web-audit-boarding,sbp-web-audit-boarding-66cb5f84fb-kmjb6,OOMKilled,1,21,45,dd97c0f865855904242b1e5f3eda2551
embarqueseguro,embarqueseguro-p,sbp-web-audit-boarding,sbp-web-audit-boarding-5db948555f-879wl,OOMKilled,1,21,45,37eaaee6b79d94bdff516aa1c8f87c3a
embarqueseguro,embarqueseguro-t,sbp-web-audit-boarding,sbp-web-audit-boarding-587dd76bf4-r5ph7,OOMKilled,1,21,45,531b67a75751c6c6052c24b4bb153559
bcadastros,bcadastros-des,serpro-orderer1,serpro-orderer1-f45986f8c-dqvf2,OOMKilled,1,21,45,3e13e5d92c70b88b01f87d2bee878e1f
bcadastros,bcadastros-des,serpro-orderer2,serpro-orderer2-8585bd968c-ppqxl,OOMKilled,1,21,45,af3fa7c0d6c5b3d27a9692754911228f
